_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
67900d8c6dbcb30ffdff77ba,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,MARIA AUXILIADORA,01H00028,Popular Permanente,Fiscomisional,Urbana,Sierra,Intercultural,11,2,13,286,0,286,282,3,0,1,0,0
67900d8c6dbcb30ffdff77c9,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,PADRE CARLOS CRESPI,01H00048,Ordinario,Fiscomisional,Urbana,Sierra,Intercultural,22,14,36,0,890,890,885,0,0,0,4,1
67900d8c6dbcb30ffdff77dd,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,CAÑARIBAMBA,10102,JOSE MARIA VELAZ EXT. 03 CUENCA,01H00075,Ordinario,Fiscomisional,Urbana,Sierra,Intercultural,7,5,12,148,112,260,260,0,0,0,0,0
67900d8c6dbcb30ffdff7808,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,EL VECINO,10105,ASOCIACION DE MUJERES ECUATORIANAS,01H00143,Popular Permanente,Fiscomisional,Urbana,Sierra,Intercultural,6,1,7,72,0,72,72,0,0,0,0,0
67900d8c6dbcb30ffdff781c,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,GIL RAMIREZ DAVALOS,10106,DANIEL HERMIDA,01H00174,Ordinario,Fiscomisional,Urbana,Sierra,Intercultural,5,5,10,0,235,235,235,0,0,0,0,0
67900d8c6dbcb30ffdff782d,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,HUAYNACAPAC,10107,FE Y ALEGRIA,01H00209,Ordinario,Fiscomisional,Urbana,Sierra,Intercultural,14,11,25,70,151,221,220,0,0,0,1,0
67900d8c6dbcb30ffdff782e,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,HUAYNACAPAC,10107,FE Y ALEGRIA,01H00212,Ordinario,Fiscomisional,Urbana,Sierra,Intercultural,24,4,28,357,327,684,681,1,0,0,1,1
67900d8c6dbcb30ffdff7833,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,HUAYNACAPAC,10107,SAN JOSE DE CALASANZ,01H00221,Popular Permanente,Fiscomisional,Urbana,Sierra,Intercultural,1,5,6,18,22,40,40,0,0,0,0,0
67900d8c6dbcb30ffdff7835,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,HUAYNACAPAC,10107,SAN JOSE DE CALASANZ,01H00223,Educación Especial,Fiscomisional,Urbana,Sierra,Intercultural,1,2,3,16,19,35,34,0,0,0,1,0
67900d8c6dbcb30ffdff783b,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MACHANGARA,10108,CENTRO DE ARTES ESPECIALES MUNDO NUEVO,01H00232,Educación Especial,Fiscomisional,Urbana,Sierra,Intercultural,4,2,6,8,18,26,25,0,0,0,1,0
67900d8c6dbcb30ffdff783e,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,MACHANGARA,10108,JUAN BAUTISTA STIEHLE,01H00238,Ordinario,Fiscomisional,Urbana,Sierra,Intercultural,13,11,24,107,199,306,304,0,0,0,2,0
