_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
67900d8c6dbcb30ffdff77d2,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,BELLAVISTA,10101,CENTRO EDUCATIVO SOL DE TALENTOS,01H00060,Ordinario,Municipal,Urbana,Sierra,Intercultural,13,1,14,48,42,90,90,0,0,0,0,0
67900d8c6dbcb30ffdff7834,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,HUAYNACAPAC,10107,CEDEI MUNICIPAL 27 DE FEBRERO,01H00222,Ordinario,Municipal,Urbana,Sierra,Intercultural,4,1,5,13,4,17,16,0,0,1,0,0
67900d8c6dbcb30ffdff7858,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SAN BLAS,10110,SAN BLAS,01H00286,Ordinario,Municipal,Urbana,Sierra,Intercultural,3,0,3,16,25,41,40,1,0,0,0,0
67900d8c6dbcb30ffdff7874,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,SAN SEBASTIAN,10111,CENTRO DE DESARROLLO INFANTIL SOLIDARIO EL CEBOLLAR,01H00347,Ordinario,Municipal,Urbana,Sierra,Intercultural,2,1,3,28,18,46,46,0,0,0,0,0
67900d8c6dbcb30ffdff79ab,2009-2010 Inicio,Zona 6,AZUAY,1,CUENCA,101,TARQUI,10168,FRANCISCO MOSCOSO,01H00873,Ordinario,Municipal,Rural,Sierra,Intercultural,5,2,7,99,113,212,212,0,0,0,0,0
67900d8c6dbcb30ffdff79d1,2009-2010 Inicio,Zona 6,AZUAY,1,GIRON,102,GIRON,10250,INSTITUTO INTEGRAL ESPECIAL PARA NIÑEZ ADOLESCENCIA,01H00933,Educación Especial,Municipal,Urbana,Sierra,Intercultural,5,1,6,5,13,18,18,0,0,0,0,0
67900d8c6dbcb30ffdff7a96,2009-2010 Inicio,Zona 6,AZUAY,1,PUCARA,106,PUCARA,10650,LA MACARENA,01H01211,Ordinario,Municipal,Urbana,Costa,Intercultural,1,0,1,11,11,22,22,0,0,0,0,0
67900d8c6dbcb30ffdff7a98,2009-2010 Inicio,Zona 6,AZUAY,1,PUCARA,106,PUCARA,10650,JAIME ROLDOS AGUILERA,01H01214,Ordinario,Municipal,Urbana,Costa,Intercultural,0,1,1,3,4,7,7,0,0,0,0,0
67900d8c6dbcb30ffdff7aa1,2009-2010 Inicio,Zona 6,AZUAY,1,PUCARA,106,PUCARA,10650,COMUNIDAD DE RAMBRÁN,01H01225,Ordinario,Municipal,Urbana,Costa,Intercultural,0,1,1,5,7,12,12,0,0,0,0,0
67900d8c6dbcb30ffdff7aa2,2009-2010 Inicio,Zona 6,AZUAY,1,PUCARA,106,PUCARA,10650,LAS NIEVES,01H01226,Ordinario,Municipal,Urbana,Costa,Intercultural,0,2,2,11,10,21,21,0,0,0,0,0
67900d8c6dbcb30ffdff7ac5,2009-2010 Inicio,Zona 6,AZUAY,1,PUCARA,106,SAN RAFAEL DE SHARUG,10652,QUILLOSISA,01H01261,Ordinario,Municipal,Rural,Costa,Intercultural,0,1,1,7,9,16,16,0,0,0,0,0
67900d8c6dbcb30ffdff7b00,2009-2010 Inicio,Zona 6,AZUAY,1,SANTA ISABEL,108,ZHAGLLI (SHAGLLI),10853,EMILIO ESTRADA,01H01331,Ordinario,Municipal,Rural,Costa,Intercultural,0,1,1,6,9,15,15,0,0,0,0,0
67900d8c6dbcb30ffdff7b13,2009-2010 Inicio,Zona 6,AZUAY,1,SIGSIG,109,SIGSIG,10950,INSTITUTO MUNICIPAL DE EDUCACION ESPECIAL SIGSIG,01H01359,Educación Especial,Municipal,Urbana,Sierra,Intercultural,4,2,6,22,25,47,47,0,0,0,0,0
67900d8c6dbcb30ffdff7b7e,2009-2010 Inicio,Zona 6,AZUAY,1,CAMILO PONCE ENRIQUEZ,115,CAMILO PONCE ENRIQUEZ,11550,VOLUNTAD DE DIOS,01H01537,Ordinario,Municipal,Urbana,Costa,Intercultural,1,0,1,3,9,12,12,0,0,0,0,0
67900d8c6dbcb30ffdff7b8d,2009-2010 Inicio,Zona 6,AZUAY,1,CAMILO PONCE ENRIQUEZ,115,CAMILO PONCE ENRIQUEZ,11550,SAN FRANCISCO DE MUYUYACU,01H01557,Ordinario,Municipal,Urbana,Costa,Intercultural,0,1,1,6,8,14,14,0,0,0,0,0
67900d8c6dbcb30ffdff7bb2,2009-2010 Inicio,Zona 6,AZUAY,1,PUCARA,106,PUCARA,10650,VEINTE DE JUNIO,01H01597,Ordinario,Municipal,Urbana,Costa,Intercultural,1,0,1,5,7,12,12,0,0,0,0,0
67900d8c6dbcb30ffdff7db7,2009-2010 Inicio,Zona 5,BOLIVAR,2,ECHEANDIA,204,ECHEANDIA,20450,REPUBLICA DE CUBA,02H00455,Ordinario,Municipal,Urbana,Costa,Intercultural,1,0,1,5,6,11,11,0,0,0,0,0
67900d8c6dbcb30ffdff7e65,2009-2010 Inicio,Zona 5,BOLIVAR,2,CALUMA,206,CALUMA,20650,SEGUNDO ULPIANO FIGUEROA,02H00658,Ordinario,Municipal,Urbana,Costa,Intercultural,6,1,7,27,36,63,63,0,0,0,0,0
67900d8c6dbcb30ffdff8065,2009-2010 Inicio,Zona 6,CAÑAR,3,LA TRONCAL,304,LA TRONCAL,30450,LUCERITOS DEL AMANECER,03H00518,Ordinario,Municipal,Urbana,Costa,Intercultural,2,0,2,37,52,89,88,0,0,0,1,0
67900d8c6dbcb30ffdff80d9,2009-2010 Inicio,Zona 1,CARCHI,4,TULCAN,401,GONZALEZ SUAREZ,40101,PRIMERO DE MAYO,04H00001,Popular Permanente,Municipal,Urbana,Sierra,Intercultural,12,4,16,115,2,117,111,6,0,0,0,0
67900d8c6dbcb30ffdff811e,2009-2010 Inicio,Zona 1,CARCHI,4,TULCAN,401,JULIO ANDRADE (OREJUELA),40153,13 DE DICIEMBRE,04H00079,Ordinario,Municipal,Rural,Sierra,Intercultural,7,2,9,45,54,99,98,1,0,0,0,0
67900d8c6dbcb30ffdff8133,2009-2010 Inicio,Zona 1,CARCHI,4,TULCAN,401,PIOTER,40155,CESAR BORJA,04H00105,Ordinario,Municipal,Rural,Sierra,Intercultural,2,0,2,10,0,10,10,0,0,0,0,0
67900d8c6dbcb30ffdff81a2,2009-2010 Inicio,Zona 1,CARCHI,4,ESPEJO,403,LA LIBERTAD (ALIZO),40352,SAN ISIDRO,04H00234,Ordinario,Municipal,Rural,Sierra,Intercultural,1,0,1,6,8,14,14,0,0,0,0,0
67900d8c6dbcb30ffdff8242,2009-2010 Inicio,Zona 1,CARCHI,4,MONTUFAR,405,SAN JOSE,40502,EL CAPULI,04H00424,Ordinario,Municipal,Urbana,Sierra,Intercultural,1,0,1,5,6,11,11,0,0,0,0,0
67900d8c6dbcb30ffdff8248,2009-2010 Inicio,Zona 1,CARCHI,4,ESPEJO,403,EL ANGEL,40301,TRES TOLAS,04H00430,Ordinario,Municipal,Urbana,Sierra,Intercultural,0,1,1,10,5,15,15,0,0,0,0,0
67900d8c6dbcb30ffdff8352,2009-2010 Inicio,Zona 3,COTOPAXI,5,LATACUNGA,501,GUAYTACAMA (GUAITACAMA),50153,LIC JOSE GABRIEL TERAN VAREA,05H00146,Popular Permanente,Municipal,Rural,Sierra,Intercultural,7,1,8,92,20,112,112,0,0,0,0,0
67900d8c6dbcb30ffdff8395,2009-2010 Inicio,Zona 3,COTOPAXI,5,LATACUNGA,501,TOACASO,50162,REINALDO HIDALGO,05H00217,Popular Permanente,Municipal,Rural,Sierra,Intercultural,7,1,8,107,13,120,120,0,0,0,0,0
67900d8c6dbcb30ffdff83c6,2009-2010 Inicio,Zona 3,COTOPAXI,5,LA MANA,502,LA MANA,50202,ING. GUILLERMO SOTOMAYOR  NAVAS  (MUNICIPAL),05H00276,Ordinario,Municipal,Urbana,Costa,Intercultural,13,1,14,280,284,564,559,2,0,2,0,1
67900d8c6dbcb30ffdff844e,2009-2010 Inicio,Zona 3,COTOPAXI,5,PANGUA,503,EL CORAZON,50350,2 DE JUNIO,05H00432,Ordinario,Municipal,Urbana,Costa,Intercultural,1,0,1,6,3,9,9,0,0,0,0,0
67900d8c6dbcb30ffdff84d8,2009-2010 Inicio,Zona 3,COTOPAXI,5,SALCEDO,505,SAN MIGUEL,50550,ALICIA MARCUARD DE YEROVI,05H00595,Ordinario,Municipal,Urbana,Sierra,Intercultural,5,3,8,65,63,128,125,3,0,0,0,0
67900d8c6dbcb30ffdff8558,2009-2010 Inicio,Zona 3,COTOPAXI,5,SIGCHOS,507,SIGCHOS,50750,UNIDAD  EDUCATIVA  JUAN  MONTALVO  FIALLOS,05H00734,Ordinario,Municipal,Urbana,Sierra,Intercultural,11,5,16,144,89,233,233,0,0,0,0,0
67900d8c6dbcb30ffdff8565,2009-2010 Inicio,Zona 3,COTOPAXI,5,SIGCHOS,507,SIGCHOS,50750,CELIANO MONGE,05H00750,Ordinario,Municipal,Urbana,Costa,Intercultural,1,0,1,4,3,7,7,0,0,0,0,0
